English	English Meaning	English Example	Spanish	Pronunciation Hint	Spanish Meaning	Spanish Example	Spanish Meaning (English)	Spanish Example (English)	Spanish Article	Spanish Gender	Spanish Number	Spanish Part of Speech	Spanish Forms	Notes	Status	Source Deck	Source Card	Tags
sea urchin			la erizo de mar	la e-RI-so DE MAR	Animal marino cubierto de púas.	La sopa llevaba erizo de mar.	Marine animal covered in spikes.	The soup had sea urchin.	la	feminine	singular	noun	singular: la erizo; plural: las erizos		reviewed	4000 Essential English Words::Extra	3_34	spanish from_4000_english 4000_essential_english_words_extra reviewed
seagull			la gaviota	la ga-BIO-ta	Ave costera de color blanco y gris.	La gaviota voló sobre la playa.	White and gray coastal bird.	The seagull flew over the beach.	la	feminine	singular	noun	singular: la gaviota; plural: las gaviotas		reviewed	4000 Essential English Words::Extra	3_35	spanish from_4000_english 4000_essential_english_words_extra reviewed
shark			el tiburón	el ti-bu-RON	Pez grande y cartilaginoso.	Vimos un tiburón en el documental.	Large and cartilaginous fish.	We saw a shark in the documentary.	el	masculine	singular	noun	singular: el tiburón; plural: los tiburones		reviewed	4000 Essential English Words::Extra	3_36	spanish from_4000_english 4000_essential_english_words_extra reviewed
squid			el calamar	el ka-la-MAR	Molusco marino con brazos y ventosas.	El calamar aparece en la sopa.	Marine mollusk with arms and suction cups.	The squid appears in the soup.	el	masculine	singular	noun	singular: el calamar; plural: los calamares		reviewed	4000 Essential English Words::Extra	3_37	spanish from_4000_english 4000_essential_english_words_extra reviewed
starfish			la estrella de mar	la es-TREL-la DE MAR	Animal marino con forma estrellada.	Encontramos una estrella de mar en la orilla.	Marine animal with a star shape.	We found a starfish on the shore.	la	feminine	singular	noun	singular: la estrella; plural: las estrellas		reviewed	4000 Essential English Words::Extra	3_38	spanish from_4000_english 4000_essential_english_words_extra reviewed
whale			la ballena	la bal-LE-na	Mamífero marino gigante.	La ballena cantaba bajo el agua.	Giant marine mammal.	The whale sang underwater.	la	feminine	singular	noun	singular: la ballena; plural: las ballenas		reviewed	4000 Essential English Words::Extra	3_39	spanish from_4000_english 4000_essential_english_words_extra reviewed
beaver			el castor	el kas-TOR	Mamífero constructor de diques.	El castor levantó una presa.	Dam-building mammal.	The beaver raised a dam.	el	masculine	singular	noun	singular: el castor; plural: los castores		reviewed	4000 Essential English Words::Extra	3_40	spanish from_4000_english 4000_essential_english_words_extra reviewed
bobcat			el lince	el LIN-se	Felino pequeño de pelaje grisáceo.	El lince vive en bosques boscosos.	Small feline with grayish fur.	The lynx lives in wooded forests.	el	masculine	singular	noun	singular: el lince; plural: los linces		reviewed	4000 Essential English Words::Extra	3_41	spanish from_4000_english 4000_essential_english_words_extra reviewed
mole			el topo	el TO-po	Mamífero subterráneo que cava túneles.	Vi un topo saliendo de su madriguera.	Underground mammal that digs tunnels.	I saw a mole coming out of its burrow.	el	masculine	singular	noun	singular: el topo; plural: los topos		reviewed	4000 Essential English Words::Extra	3_42	spanish from_4000_english 4000_essential_english_words_extra reviewed
opossum			la zarigüeya	la sa-ri-GE-ya	Marsupial que puede llorar cuando está en peligro.	La zarigüeya buscaba insectos de noche.	Marsupial that can cry when in danger.	The opossum searched for insects at night.	la	feminine	singular	noun	singular: la zarigüeya; plural: las zarigüeyas		reviewed	4000 Essential English Words::Extra	3_43	spanish from_4000_english 4000_essential_english_words_extra reviewed
porcupine			el puercoespín	el puer-koes-PIN	Mamífero con púas en el lomo.	El puercoespín se defendió con púas.	Mammal with spikes on its back.	The porcupine defended itself with quills.	el	masculine	singular	noun	singular: el puercoespín; plural: los puercoespines		reviewed	4000 Essential English Words::Extra	3_44	spanish from_4000_english 4000_essential_english_words_extra reviewed
robin			el petirrojo	el pe-tir-RO-ho	Pequeño ave de pecho rojo.	El petirrojo cantó en el árbol.	Small red-breasted bird.	The robin sang in the tree.	el	masculine	singular	noun	singular: el petirrojo; plural: los petirrojos		reviewed	4000 Essential English Words::Extra	3_45	spanish from_4000_english 4000_essential_english_words_extra reviewed
skunk			la mofeta	la mo-FE-ta	Mamífero con olor característico defensivo.	La mofeta dejó su olor en el jardín.	Mammal with characteristic defensive odor.	The skunk left its scent in the garden.	la	feminine	singular	noun	singular: la mofeta; plural: las mofetas		reviewed	4000 Essential English Words::Extra	3_46	spanish from_4000_english 4000_essential_english_words_extra reviewed
squirrel			la ardilla	la ar-DIL-la	Pequeño roedor ágil de bosque.	La ardilla guardó una nuez.	Small agile forest rodent.	The squirrel saved a nut.	la	feminine	singular	noun	singular: la ardilla; plural: las ardillas		reviewed	4000 Essential English Words::Extra	3_47	spanish from_4000_english 4000_essential_english_words_extra reviewed
woodpecker			el carpintero	el kar-pin-TE-ro	Ave que golpea troncos con su pico.	El carpintero picoteaba el árbol.	Bird that hits logs with its beak.	The carpenter was pecking at the tree.	el	masculine	singular	noun	singular: el carpintero; plural: los carpinteros		reviewed	4000 Essential English Words::Extra	3_48	spanish from_4000_english 4000_essential_english_words_extra reviewed
butterfly			la mariposa	la ma-ri-PO-sa	Insecto alado de colorido vuelo suave.	La mariposa revoloteó en el jardín.	Winged insect with colorful smooth flight.	The butterfly fluttered in the garden.	la	feminine	singular	noun	singular: la mariposa; plural: las mariposas		reviewed	4000 Essential English Words::Extra	3_49	spanish from_4000_english 4000_essential_english_words_extra reviewed
dragonfly			la libélula	la li-BE-lu-la	Insecto alado con alas transparentes.	La libélula volaba sobre el río.	Winged insect with transparent wings.	The dragonfly was flying over the river.	la	feminine	singular	noun	singular: la libélula; plural: las libélulas		reviewed	4000 Essential English Words::Extra	3_50	spanish from_4000_english 4000_essential_english_words_extra reviewed
caterpillar			la oruga	la o-RU-ga	Larva de mariposa o polilla.	La oruga comió muchas hojas.	Butterfly or moth larva.	The caterpillar ate many leaves.	la	feminine	singular	noun	singular: la oruga; plural: las orugas		reviewed	4000 Essential English Words::Extra	3_51	spanish from_4000_english 4000_essential_english_words_extra reviewed
cricket			el grillo	el GRIL-lo	Insecto que hace ruido de noche.	El grillo cantó en el césped.	Insect that makes noise at night.	The cricket sang on the grass.	el	masculine	singular	noun	singular: el grillo; plural: los grillos		reviewed	4000 Essential English Words::Extra	3_52	spanish from_4000_english 4000_essential_english_words_extra reviewed
firefly			la luciérnaga	la lu-SIER-na-ga	Insecto que emite luz por la noche.	La luciérnaga iluminó el jardín.	Insect that emits light at night.	The firefly illuminated the garden.	la	feminine	singular	noun	singular: la luciérnaga; plural: las luciérnagas		reviewed	4000 Essential English Words::Extra	3_53	spanish from_4000_english 4000_essential_english_words_extra reviewed
grasshopper			el saltamontes	el sal-ta-MON-tes	Insecto que salta de largo al caminar.	El saltamontes saltó entre las plantas.	Insect that jumps long when walking.	The grasshopper jumped between the plants.	el	masculine	singular	noun	singular: el saltamontes; plural: los saltamontes		reviewed	4000 Essential English Words::Extra	3_54	spanish from_4000_english 4000_essential_english_words_extra reviewed
ladybug			la mariquita	la ma-ri-KI-ta	Pequeño escarabajo de manchas rojas.	Vi una mariquita en la hoja.	Small red-spotted beetle.	I saw a ladybug on the leaf.	la	feminine	singular	noun	singular: la mariquita; plural: las mariquitas		reviewed	4000 Essential English Words::Extra	3_55	spanish from_4000_english 4000_essential_english_words_extra reviewed
mosquito			el mosquito	el mos-KI-to	Un mosquito es un insecto pequeño que puede picar a personas o animales.	El mosquito zumbaba cerca de mis oídos.	Small insect that can bite and sting.	The mosquito buzzed near my ears.	el	masculine	singular	noun	singular: el mosquito; plural: los mosquitos		reviewed	4000 Essential English Words::Extra	3_56	spanish from_4000_english 4000_essential_english_words_extra reviewed
moth			la polilla	la po-LIL-la	Insecto de alas atraído por la luz.	La polilla se acercó al farol.	Winged insect attracted to light.	The moth approached the lantern.	la	feminine	singular	noun	singular: la polilla; plural: las polillas		reviewed	4000 Essential English Words::Extra	3_57	spanish from_4000_english 4000_essential_english_words_extra reviewed
apple pie			la tarta de manzana	la TAR-ta DE man-SA-na	Postre dulce hecho con manzana y masa.	Hicimos una tarta de manzana.	Sweet dessert made with apple and dough.	We made an apple pie.	la	feminine	singular	noun	singular: la tarta; plural: las tartas		reviewed	4000 Essential English Words::Extra	3_58	spanish from_4000_english 4000_essential_english_words_extra reviewed
cereal			el cereal	el se-REAL	Comida hecha con granos tostados o inflados.	Desayuné cereal con leche.	Food made with roasted or puffed grains.	I had cereal with milk for breakfast.	el	masculine	singular	noun	singular: el cereal; plural: los cereales		reviewed	4000 Essential English Words::Extra	3_59	spanish from_4000_english 4000_essential_english_words_extra reviewed
hamburger			la hamburguesa	la am-bur-GE-sa	Sándwich de pan con carne o relleno.	Pedí una hamburguesa con queso.	Bread sandwich with meat or filling.	I ordered a cheeseburger.	la	feminine	singular	noun	singular: la hamburguesa; plural: las hamburguesas		reviewed	4000 Essential English Words::Extra	3_60	spanish from_4000_english 4000_essential_english_words_extra reviewed
salad			la ensalada	la en-sa-LA-da	Mezcla de verduras crudas con aderezos.	Preparé una ensalada fresca.	Mix of raw vegetables with dressings.	I made a fresh salad.	la	feminine	singular	noun	singular: la ensalada; plural: las ensaladas		reviewed	4000 Essential English Words::Extra	3_61	spanish from_4000_english 4000_essential_english_words_extra reviewed
sandwich			el sándwich	el SAN-dwi-ç	Pan relleno con ingredientes.	Hice un sándwich de jamón.	Bread filled with ingredients.	I made a ham sandwich.	el	masculine	singular	noun	singular: el sándwich; plural: los sandwiches		reviewed	4000 Essential English Words::Extra	3_62	spanish from_4000_english 4000_essential_english_words_extra reviewed
taco			el taco	el TA-ko	Platillo de tortilla doblada con relleno.	Probé un taco de pollo.	Folded tortilla dish with filling.	I tried a chicken taco.	el	masculine	singular	noun	singular: el taco; plural: los tacos		reviewed	4000 Essential English Words::Extra	3_63	spanish from_4000_english 4000_essential_english_words_extra reviewed
avocado			el aguacate	el a-gua-KA-te	Fruto cremoso usado en ensaladas.	Machaco el aguacate para el guacamole.	Creamy fruit used in salads.	I mash the avocado for the guacamole.	el	masculine	singular	noun	singular: el aguacate; plural: los aguacates		reviewed	4000 Essential English Words::Extra	3_64	spanish from_4000_english 4000_essential_english_words_extra reviewed
cherry			la cereza	la se-RE-sa	Fruta pequeña y dulce de color rojo.	Las cerezas están maduras.	Small, sweet red fruit.	The cherries are ripe.	la	feminine	singular	noun	singular: la cereza; plural: las cerezas		reviewed	4000 Essential English Words::Extra	3_65	spanish from_4000_english 4000_essential_english_words_extra reviewed
coconut			el coco	el KO-ko	Fruto fibroso con agua y pulpa.	Compré agua de coco fresca.	Fibrous fruit with water and pulp.	I bought fresh coconut water.	el	masculine	singular	noun	singular: el coco; plural: los cocos		reviewed	4000 Essential English Words::Extra	3_66	spanish from_4000_english 4000_essential_english_words_extra reviewed
fig			el higo	el I-go	Fruta dulce de piel suave.	Los higos se usan en repostería.	Sweet fruit with soft skin.	Figs are used in baking.	el	masculine	singular	noun	singular: el higo; plural: los higos		reviewed	4000 Essential English Words::Extra	3_67	spanish from_4000_english 4000_essential_english_words_extra reviewed
grapefruit			el pomelo	el po-ME-lo	Fruta cítrica de sabor amargo-dulce.	Tomé jugo de pomelo en el desayuno.	Citrus fruit with a bitter-sweet flavor.	I had grapefruit juice for breakfast.	el	masculine	singular	noun	singular: el pomelo; plural: los pomelos		reviewed	4000 Essential English Words::Extra	3_68	spanish from_4000_english 4000_essential_english_words_extra reviewed
peach			el melocotón	el me-lo-ko-TON	Fruta dulce con hueso grande.	Me encanta el melocotón maduro.	Sweet fruit with large stone.	I love ripe peaches.	el	masculine	singular	noun	singular: el melocotón; plural: los melocotones		reviewed	4000 Essential English Words::Extra	3_69	spanish from_4000_english 4000_essential_english_words_extra reviewed
